id,isim,soyisim,yas,yillik_gelir,satin_alma_miktari
2814,Ayşe,Demir,55,144618,5
2815,Fatma,Çelik,24,43633,5
2816,Mehmet,Arslan,39,106028,1
2817,Hüseyin,Demir,21,144385,1
2818,Ahmet,Demir,29,136638,17
2819,Hüseyin,Şahin,60,53326,12
2820,Mehmet,Doğan,29,88565,10
2821,Emre,Korkmaz,47,37650,4
2822,Hüseyin,Şahin,32,145646,17
2823,Zeynep,Kaya,37,27974,18
2824,Zeynep,Güler,44,51740,16
2825,Ayşe,Şahin,61,96609,18
2826,Zeynep,Çelik,34,80861,13
2827,Ahmet,Kaya,53,59798,3
2828,Hüseyin,Arslan,35,120803,12
2829,Fatma,Çelik,34,37702,1
2830,Selin,Doğan,28,133695,17
2831,Selin,Güler,27,28188,1
2832,Mehmet,Arslan,53,146811,9
2833,Mehmet,Demir,43,30171,4
2834,Ali,Doğan,44,26294,16
2835,Ali,Doğan,69,136368,17
2836,Ahmet,Kaya,33,49812,3
2837,Selin,Kaya,45,130837,6
2838,Emre,Güler,22,79689,13
2839,Ali,Kaya,56,79086,16
2840,Ayşe,Doğan,39,50065,19
2841,Fatma,Çelik,57,56193,6
2842,Zeynep,Korkmaz,67,124995,3
2843,Fatma,Çelik,41,50668,13
2844,Emre,Doğan,62,123032,17
2845,Elif,Demir,56,147986,5
2846,Ayşe,Korkmaz,61,146112,12
2847,Zeynep,Çelik,61,22885,13
2848,Selin,Doğan,40,30661,16
2849,Ahmet,Yılmaz,46,61617,9
2850,Hüseyin,Demir,64,86504,15
2851,Ayşe,Doğan,61,115358,14
2852,Mehmet,Arslan,24,49365,12
2853,Ahmet,Şahin,31,78451,2
2854,Selin,Kaya,31,21849,10
2855,Mehmet,Yılmaz,35,75677,13
2856,Emre,Demir,58,100392,7
2857,Ahmet,Öztürk,48,104621,19
2858,Selin,Demir,22,31573,10
2859,Selin,Çelik,36,133160,6
2860,Ali,Arslan,66,53122,11
2861,Mehmet,Çelik,20,75981,2
2862,Mehmet,Şahin,45,74725,16
2863,Emre,Çelik,26,57265,17
2864,Fatma,Doğan,61,120863,5
2865,Selin,Korkmaz,33,145842,2
2866,Emre,Doğan,69,135777,8
2867,Hüseyin,Demir,41,64294,15
2868,Ahmet,Kaya,65,91898,18
2869,Zeynep,Korkmaz,48,113560,10
2870,Ayşe,Şahin,31,89899,9
2871,Elif,Demir,46,106778,13
2872,Emre,Doğan,64,106185,4
2873,Emre,Öztürk,32,149276,14
2874,Elif,Öztürk,68,123116,7
2875,Emre,Öztürk,64,129538,5
2876,Mehmet,Arslan,63,124840,4
2877,Ayşe,Demir,51,31357,2
2878,Selin,Arslan,22,142109,12
2879,Ali,Güler,28,107130,17
2880,Ayşe,Korkmaz,36,79710,11
2881,Zeynep,Güler,54,49459,14
2882,Fatma,Demir,26,133927,9
2883,Ahmet,Şahin,27,41497,19
2884,Emre,Demir,64,109276,6
2885,Zeynep,Güler,31,42225,9
2886,Ali,Demir,30,42095,18
2887,Fatma,Yılmaz,47,50022,16
2888,Fatma,Şahin,32,147329,19
2889,Ali,Demir,58,31554,3
2890,Selin,Kaya,31,122952,7
2891,Fatma,Öztürk,27,100641,19
2892,Ayşe,Öztürk,64,89710,7
2893,Ahmet,Demir,30,111800,12
2894,Elif,Arslan,55,122499,15
2895,Ahmet,Öztürk,47,56293,17
2896,Elif,Korkmaz,63,105979,13
2897,Ali,Korkmaz,29,48223,1
2898,Elif,Şahin,62,130109,18
2899,Fatma,Korkmaz,59,133389,1
2900,Zeynep,Çelik,67,128864,11
2901,Fatma,Korkmaz,42,105575,19
2902,Fatma,Öztürk,26,88026,4
2903,Ahmet,Demir,33,84815,1
2904,Ahmet,Güler,50,77410,13
2905,Zeynep,Korkmaz,62,115786,15
2906,Selin,Şahin,34,122484,17
2907,Ahmet,Korkmaz,68,128894,1
2908,Ahmet,Kaya,69,107299,18
2909,Emre,Kaya,62,137734,15
2910,Elif,Demir,68,63087,8
2911,Elif,Korkmaz,67,30323,16
2912,Ali,Öztürk,29,76909,17
2913,Mehmet,Korkmaz,33,91585,11
2914,Ahmet,Arslan,43,148744,14
2915,Fatma,Doğan,39,59964,12
2916,Ali,Demir,40,76253,6
2917,Hüseyin,Korkmaz,35,60598,3
2918,Hüseyin,Korkmaz,46,75748,2
2919,Mehmet,Arslan,45,75254,7
2920,Hüseyin,Öztürk,62,63649,17
2921,Ayşe,Arslan,26,100304,5
2922,Fatma,Korkmaz,45,115470,1
2923,Mehmet,Demir,46,117698,14
2924,Hüseyin,Demir,57,136417,15
2925,Hüseyin,Kaya,61,87410,1
2926,Fatma,Doğan,57,45570,17
2927,Ali,Yılmaz,53,94287,8
2928,Elif,Doğan,48,27669,13
2929,Selin,Yılmaz,59,115333,17
2930,Mehmet,Öztürk,27,34866,9
2931,Emre,Arslan,61,64706,6
2932,Ayşe,Güler,35,148373,10
2933,Ali,Doğan,68,115027,14
2934,Ahmet,Şahin,34,140869,10
2935,Zeynep,Kaya,18,141157,9
2936,Emre,Öztürk,44,139237,6
2937,Ayşe,Yılmaz,25,75492,19
2938,Hüseyin,Kaya,36,136144,5
2939,Zeynep,Arslan,29,84043,12
2940,Emre,Doğan,30,98593,5
2941,Elif,Arslan,31,28970,6
2942,Ayşe,Güler,26,145715,5
2943,Mehmet,Yılmaz,58,69736,8
2944,Elif,Arslan,36,52538,3
2945,Mehmet,Kaya,35,99665,11
2946,Fatma,Yılmaz,60,40843,10
2947,Ayşe,Çelik,62,124290,8
2948,Hüseyin,Güler,52,77539,9
2949,Ali,Öztürk,29,62890,15
2950,Ahmet,Güler,41,120727,7
2951,Mehmet,Kaya,24,82338,17
2952,Elif,Çelik,32,139826,16
2953,Mehmet,Öztürk,64,145727,11
2954,Hüseyin,Demir,68,74819,4
2955,Ahmet,Korkmaz,61,121852,11
2956,Emre,Demir,19,136272,19
2957,Hüseyin,Korkmaz,32,138573,8
2958,Fatma,Korkmaz,55,64390,8
2959,Elif,Şahin,24,61989,2
2960,Ahmet,Demir,65,139877,3
2961,Elif,Doğan,62,81755,6
2962,Mehmet,Arslan,27,35838,5
2963,Elif,Arslan,21,125713,3
2964,Emre,Korkmaz,27,58182,13
2965,Ali,Öztürk,52,70157,10
2966,Mehmet,Demir,48,125439,18
2967,Ali,Doğan,19,148328,8
2968,Ali,Korkmaz,56,107984,6
2969,Ali,Çelik,32,34022,15
2970,Hüseyin,Demir,34,41198,2
2971,Mehmet,Güler,48,119714,10
2972,Elif,Korkmaz,68,125749,9
2973,Selin,Şahin,31,106209,1
2974,Hüseyin,Demir,40,59059,15
2975,Fatma,Öztürk,64,115834,9
2976,Ali,Arslan,53,22199,10
2977,Hüseyin,Kaya,41,44429,7
2978,Elif,Demir,55,106903,13
2979,Selin,Doğan,47,46951,11
2980,Zeynep,Yılmaz,63,80953,16
2981,Mehmet,Öztürk,60,123577,5
2982,Ahmet,Korkmaz,44,140712,14
2983,Zeynep,Arslan,36,45401,1
2984,Ali,Korkmaz,40,140012,5
2985,Hüseyin,Şahin,24,116601,5
2986,Mehmet,Şahin,28,67327,3
2987,Ali,Korkmaz,61,53030,17
2988,Elif,Şahin,19,62228,6
2989,Ayşe,Korkmaz,27,28290,5
2990,Fatma,Arslan,44,67015,16
2991,Ayşe,Çelik,66,64235,12
2992,Elif,Güler,33,84923,7
2993,Hüseyin,Öztürk,35,111308,15
2994,Ayşe,Arslan,37,128912,11
2995,Elif,Güler,37,102999,10
2996,Hüseyin,Yılmaz,19,127123,4
2997,Ali,Şahin,45,66233,10
2998,Selin,Yılmaz,69,57667,3
2999,Elif,Kaya,54,22991,3
3000,Ali,Şahin,53,112402,9
3001,Hüseyin,Güler,27,137785,12
3002,Emre,Doğan,59,85263,14
3003,Mehmet,Korkmaz,31,37322,3
3004,Fatma,Kaya,24,132055,4
3005,Ali,Kaya,42,101845,10
3006,Fatma,Korkmaz,28,104155,14
3007,Hüseyin,Yılmaz,61,55112,10
3008,Ayşe,Kaya,55,127569,8
3009,Ali,Korkmaz,23,23149,12
3010,Ali,Arslan,58,95354,15
3011,Hüseyin,Öztürk,33,141244,8
3012,Fatma,Doğan,32,41954,16
3013,Zeynep,Kaya,39,141412,4
3014,Mehmet,Güler,18,79724,14
3015,Ahmet,Yılmaz,53,28912,3
3016,Ayşe,Kaya,51,75596,19
3017,Emre,Öztürk,32,122991,10
3018,Fatma,Korkmaz,24,141569,1
3019,Zeynep,Kaya,42,51487,12
3020,Emre,Korkmaz,21,122990,1
3021,Emre,Güler,22,134322,7
3022,Mehmet,Kaya,55,88885,19
3023,Hüseyin,Şahin,58,76481,10
3024,Ayşe,Korkmaz,49,44988,10
3025,Ahmet,Korkmaz,45,95785,11
3026,Zeynep,Arslan,68,84785,7
3027,Emre,Güler,59,92456,13
3028,Selin,Çelik,21,133262,12
3029,Selin,Şahin,52,132980,5
3030,Zeynep,Arslan,59,53305,15
3031,Selin,Öztürk,31,84807,10
3032,Fatma,Şahin,67,73079,1
3033,Ali,Korkmaz,35,55589,13
3034,Ahmet,Kaya,60,48282,18
3035,Mehmet,Öztürk,58,85592,9
3036,Fatma,Doğan,63,137574,8
3037,Hüseyin,Demir,28,142657,10
3038,Mehmet,Arslan,56,53450,1
3039,Mehmet,Şahin,60,100610,6
3040,Elif,Demir,21,33308,1
3041,Mehmet,Korkmaz,45,140817,13
3042,Hüseyin,Kaya,33,82566,18
3043,Ayşe,Çelik,68,43836,5
3044,Ahmet,Çelik,52,25258,6
3045,Hüseyin,Güler,54,46793,5
3046,Hüseyin,Demir,60,90509,18
3047,Zeynep,Şahin,57,65028,19
3048,Hüseyin,Yılmaz,68,145532,13
3049,Selin,Arslan,62,105766,13
3050,Mehmet,Kaya,38,88915,2
3051,Ayşe,Kaya,43,134701,19
3052,Ahmet,Kaya,29,30638,6
3053,Ali,Yılmaz,62,92773,19
3054,Ayşe,Kaya,35,114128,1
3055,Fatma,Arslan,23,102770,7
3056,Selin,Korkmaz,37,47170,11
3057,Mehmet,Güler,25,82764,16
3058,Fatma,Korkmaz,22,66202,10
3059,Selin,Korkmaz,49,149306,17
3060,Ahmet,Çelik,47,49233,17
3061,Elif,Öztürk,60,113315,7
3062,Ahmet,Yılmaz,68,107457,7
3063,Emre,Kaya,45,86654,15
3064,Ali,Öztürk,50,125377,12
3065,Elif,Kaya,61,120314,13
3066,Selin,Arslan,59,143314,11
3067,Emre,Doğan,36,82118,19
3068,Ahmet,Demir,47,49882,6
3069,Zeynep,Korkmaz,31,83465,8
3070,Ahmet,Çelik,68,47981,1
3071,Hüseyin,Korkmaz,62,112797,13
3072,Ali,Kaya,27,112695,18
3073,Elif,Güler,26,146025,4
3074,Ayşe,Güler,43,105475,16
3075,Ahmet,Demir,51,30044,12
3076,Ali,Doğan,35,29517,10
3077,Fatma,Güler,67,61645,13
3078,Fatma,Çelik,65,147889,18
3079,Hüseyin,Çelik,34,30954,7
3080,Zeynep,Çelik,67,59001,16
3081,Ahmet,Şahin,25,72592,8
3082,Emre,Arslan,48,110694,12
3083,Hüseyin,Öztürk,34,123289,16
3084,Fatma,Doğan,40,116505,19
3085,Zeynep,Çelik,55,62350,18
3086,Ahmet,Çelik,27,27808,14
3087,Zeynep,Şahin,64,75275,13
3088,Zeynep,Çelik,30,136015,12
3089,Ayşe,Arslan,42,106753,2
3090,Ayşe,Yılmaz,40,111608,1
3091,Mehmet,Demir,32,29189,16
3092,Emre,Kaya,63,44415,11
3093,Zeynep,Öztürk,51,67983,8
3094,Fatma,Kaya,22,137032,14
3095,Ali,Öztürk,23,97925,7
3096,Elif,Arslan,30,64592,5
3097,Hüseyin,Arslan,59,119779,14
3098,Hüseyin,Güler,30,75024,4
3099,Ayşe,Çelik,18,34631,2
3100,Emre,Doğan,23,117348,15
3101,Ahmet,Öztürk,40,137799,10
3102,Ahmet,Güler,59,32038,7
3103,Selin,Korkmaz,51,115282,6
3104,Ayşe,Arslan,67,96900,4
3105,Fatma,Korkmaz,69,24015,15
3106,Ali,Demir,19,140665,19
3107,Selin,Güler,28,131115,14
3108,Elif,Öztürk,24,78503,6
3109,Mehmet,Yılmaz,34,76349,14
3110,Ali,Arslan,25,124375,13
3111,Emre,Güler,45,67022,14
3112,Ali,Doğan,56,59949,18
3113,Zeynep,Yılmaz,61,75491,2
3114,Hüseyin,Kaya,38,79495,5
3115,Hüseyin,Öztürk,59,26163,13
3116,Fatma,Çelik,36,90289,13
3117,Emre,Öztürk,69,126408,14
3118,Zeynep,Kaya,60,70313,15
3119,Hüseyin,Şahin,24,21736,2
3120,Ayşe,Şahin,56,137456,7
3121,Ahmet,Çelik,52,29036,7
3122,Selin,Korkmaz,67,48632,5
3123,Fatma,Demir,28,100969,4
3124,Elif,Arslan,57,145800,4
3125,Ali,Korkmaz,58,46501,4
3126,Zeynep,Öztürk,58,47901,7
3127,Emre,Çelik,45,57753,13
3128,Elif,Öztürk,48,48991,5
3129,Mehmet,Güler,54,43027,11
3130,Zeynep,Öztürk,52,99396,7
3131,Zeynep,Çelik,43,20046,7
3132,Hüseyin,Çelik,45,30712,16
3133,Zeynep,Kaya,49,28823,1
3134,Ayşe,Öztürk,66,53427,9
3135,Selin,Kaya,61,87903,6
3136,Ahmet,Doğan,21,120435,13
3137,Hüseyin,Güler,18,87831,4
3138,Ahmet,Kaya,55,112601,5
3139,Fatma,Şahin,57,38951,2
3140,Ali,Yılmaz,30,135171,6
3141,Mehmet,Şahin,38,60231,12
3142,Ali,Demir,29,118755,12
3143,Hüseyin,Öztürk,30,74864,16
3144,Ali,Demir,68,71941,13
3145,Elif,Arslan,45,120746,12
3146,Ali,Yılmaz,65,92912,9
3147,Hüseyin,Demir,39,54266,7
3148,Selin,Çelik,62,95558,7
3149,Emre,Doğan,30,76139,10
3150,Ahmet,Demir,65,112242,8
3151,Zeynep,Kaya,35,116995,17
3152,Ali,Çelik,57,129784,8
3153,Elif,Doğan,49,92881,14
3154,Emre,Demir,65,83858,9
3155,Ali,Yılmaz,47,91252,14
3156,Ahmet,Şahin,19,145391,7
3157,Elif,Kaya,55,104233,12
3158,Mehmet,Güler,18,145574,10
3159,Emre,Demir,41,34210,2
3160,Selin,Kaya,31,68087,13
3161,Ayşe,Şahin,26,145501,16
3162,Zeynep,Kaya,38,25555,19
3163,Zeynep,Şahin,36,86375,5
3164,Elif,Yılmaz,34,144355,3
3165,Ali,Demir,31,72595,5
3166,Emre,Yılmaz,26,82675,16
3167,Emre,Kaya,24,121741,10
3168,Selin,Arslan,45,120903,7
3169,Elif,Şahin,55,61870,9
3170,Ayşe,Arslan,53,124581,19
3171,Elif,Çelik,58,130099,18
3172,Fatma,Arslan,44,101262,9
3173,Elif,Şahin,48,88983,13
3174,Mehmet,Yılmaz,30,134408,3
3175,Emre,Doğan,63,65250,9
3176,Ayşe,Doğan,34,72977,3
3177,Hüseyin,Kaya,41,115914,17
3178,Zeynep,Çelik,68,22026,9
3179,Zeynep,Şahin,60,128493,12
3180,Ali,Demir,26,103352,11
3181,Emre,Yılmaz,34,28736,13
3182,Zeynep,Kaya,36,90246,19
3183,Hüseyin,Doğan,28,145253,5
3184,Elif,Kaya,33,29003,2
3185,Emre,Demir,56,61911,6
3186,Zeynep,Kaya,42,135739,3
3187,Fatma,Kaya,54,61578,3
3188,Ali,Arslan,65,149024,13
3189,Ahmet,Şahin,18,36657,12
3190,Ahmet,Kaya,21,130714,8
3191,Ahmet,Korkmaz,44,71048,18
3192,Ahmet,Arslan,38,111494,19
3193,Ali,Şahin,65,74863,17
3194,Mehmet,Doğan,65,38842,18
3195,Emre,Şahin,51,76910,16
3196,Fatma,Öztürk,42,95160,13
3197,Zeynep,Arslan,36,121058,15
3198,Emre,Demir,58,118393,2
3199,Emre,Şahin,27,79144,10
3200,Hüseyin,Korkmaz,26,87510,9
3201,Zeynep,Yılmaz,25,70366,18
3202,Zeynep,Demir,46,118764,3
3203,Zeynep,Şahin,65,22651,4
3204,Ahmet,Demir,59,75824,19
3205,Mehmet,Öztürk,37,123282,6
3206,Hüseyin,Yılmaz,40,38963,13
3207,Mehmet,Şahin,21,27146,2
3208,Zeynep,Öztürk,32,54870,17
3209,Hüseyin,Doğan,20,53976,3
3210,Mehmet,Öztürk,41,62874,13
3211,Zeynep,Çelik,61,131224,11
3212,Hüseyin,Yılmaz,42,72080,8
3213,Selin,Şahin,38,127899,5
3214,Emre,Şahin,53,130824,12
3215,Zeynep,Yılmaz,64,139998,12
3216,Selin,Yılmaz,50,109225,1
3217,Fatma,Öztürk,52,88748,1
3218,Ayşe,Demir,60,41429,7
3219,Ali,Öztürk,46,138734,18
3220,Ayşe,Doğan,55,123359,10
3221,Hüseyin,Çelik,54,90481,9
3222,Ayşe,Doğan,36,107280,17
3223,Fatma,Öztürk,60,27940,7
3224,Mehmet,Yılmaz,53,46007,13
3225,Ahmet,Demir,57,114194,2
3226,Zeynep,Arslan,53,98183,10
3227,Ahmet,Şahin,19,68186,5
3228,Fatma,Demir,47,89025,2
3229,Zeynep,Kaya,38,52517,15
3230,Fatma,Çelik,55,133755,3
3231,Ahmet,Doğan,53,72749,17
3232,Hüseyin,Güler,64,109404,16
3233,Fatma,Korkmaz,52,138741,15
3234,Emre,Arslan,45,56524,17
3235,Fatma,Çelik,67,81987,12
3236,Ali,Arslan,32,126574,15
3237,Selin,Şahin,60,86578,11
3238,Emre,Arslan,48,75213,9
3239,Emre,Çelik,45,47704,15
3240,Ahmet,Güler,69,104855,7
3241,Fatma,Öztürk,22,94807,12
3242,Selin,Şahin,22,95087,14
3243,Ali,Güler,24,130314,15
3244,Selin,Güler,59,149967,1
3245,Mehmet,Yılmaz,59,30302,9
3246,Hüseyin,Çelik,21,133168,8
3247,Ali,Çelik,57,112522,13
3248,Mehmet,Şahin,62,149828,2
3249,Selin,Öztürk,54,68348,19
3250,Ayşe,Öztürk,45,120022,13
3251,Zeynep,Demir,31,32138,4
3252,Zeynep,Arslan,62,64638,15
3253,Zeynep,Arslan,18,141896,3
3254,Elif,Korkmaz,28,96392,19
3255,Selin,Çelik,47,75725,3
3256,Mehmet,Arslan,32,54698,10
3257,Ahmet,Şahin,18,97560,12
3258,Selin,Korkmaz,18,60600,4
3259,Ali,Doğan,50,74418,13
3260,Selin,Kaya,29,113174,10
3261,Ali,Öztürk,47,107329,7
3262,Elif,Çelik,23,78665,17
3263,Ali,Çelik,23,41254,16
3264,Mehmet,Yılmaz,48,49667,2
3265,Ayşe,Demir,36,47321,9
3266,Zeynep,Öztürk,60,101407,18
3267,Fatma,Çelik,34,102669,7
3268,Elif,Öztürk,35,139234,15
3269,Ahmet,Demir,29,66454,7
3270,Mehmet,Doğan,27,107663,12
3271,Zeynep,Öztürk,27,31600,16
3272,Ayşe,Arslan,44,128190,13
3273,Ali,Doğan,30,71453,17
3274,Ayşe,Yılmaz,18,31890,8
3275,Selin,Arslan,57,54364,16
3276,Mehmet,Çelik,46,26254,14
3277,Fatma,Çelik,31,78687,5
3278,Mehmet,Demir,41,127857,17
3279,Mehmet,Öztürk,66,99135,6
3280,Ayşe,Kaya,45,121051,18
3281,Selin,Demir,61,137240,19
3282,Hüseyin,Çelik,43,87221,14
3283,Mehmet,Öztürk,38,43264,3
3284,Ayşe,Yılmaz,65,50141,6
3285,Ali,Arslan,30,41591,15
3286,Elif,Doğan,42,30737,10
3287,Ali,Arslan,23,35549,9
3288,Hüseyin,Arslan,52,30875,19
3289,Hüseyin,Demir,30,149948,2
3290,Hüseyin,Kaya,61,45307,4
3291,Hüseyin,Demir,33,28971,13
3292,Fatma,Arslan,39,44393,11
3293,Ali,Şahin,54,135587,14
3294,Zeynep,Doğan,67,37104,13
3295,Mehmet,Yılmaz,62,35283,7
3296,Mehmet,Kaya,30,33129,16
3297,Fatma,Kaya,66,89523,17
3298,Hüseyin,Doğan,52,63075,9
3299,Mehmet,Güler,23,84288,16
3300,Ali,Doğan,38,84880,18
3301,Ali,Kaya,49,123497,3
3302,Selin,Doğan,52,88714,15
3303,Ayşe,Kaya,41,88328,13
3304,Zeynep,Korkmaz,37,118062,9
3305,Ayşe,Kaya,39,96857,14
3306,Fatma,Çelik,65,143109,10
3307,Zeynep,Yılmaz,24,61263,7
3308,Elif,Kaya,22,132443,19
3309,Mehmet,Kaya,27,43768,10
3310,Ayşe,Çelik,42,88244,10
3311,Ahmet,Doğan,65,30593,15
3312,Emre,Kaya,50,129396,4
3313,Ayşe,Kaya,28,37112,3
3314,Selin,Şahin,44,40454,9
3315,Elif,Demir,45,145447,5
3316,Fatma,Demir,34,46060,13
3317,Hüseyin,Şahin,52,50206,3
3318,Elif,Güler,40,88746,17
3319,Zeynep,Öztürk,46,53224,14
3320,Ayşe,Doğan,46,71699,5
3321,Ahmet,Şahin,67,108577,12
3322,Zeynep,Güler,32,129532,11
3323,Zeynep,Demir,55,40210,16
3324,Mehmet,Arslan,43,145020,11
3325,Ahmet,Şahin,23,50758,5
3326,Hüseyin,Arslan,20,118768,7
3327,Ahmet,Kaya,53,27324,12
3328,Mehmet,Kaya,29,22926,4
3329,Ayşe,Şahin,69,54885,13
3330,Mehmet,Yılmaz,31,70977,19
3331,Ali,Yılmaz,53,148324,18
3332,Ayşe,Öztürk,49,33862,7
3333,Zeynep,Kaya,48,79004,18
3334,Zeynep,Şahin,23,145803,14
3335,Zeynep,Öztürk,47,50254,18
3336,Ali,Yılmaz,45,64810,1
3337,Ahmet,Demir,19,53023,19
3338,Zeynep,Güler,58,46015,5
3339,Elif,Öztürk,44,138420,4
3340,Ali,Arslan,46,61707,4
3341,Ayşe,Şahin,57,145404,8
3342,Ali,Yılmaz,57,146727,8
3343,Ayşe,Kaya,51,86332,19
3344,Selin,Yılmaz,59,65846,19
3345,Mehmet,Güler,65,127402,16
3346,Hüseyin,Kaya,63,137893,15
3347,Zeynep,Kaya,50,33044,1
3348,Elif,Güler,22,78237,5
3349,Selin,Yılmaz,18,85982,17
3350,Selin,Kaya,29,47726,10
3351,Zeynep,Demir,69,30562,4
3352,Fatma,Demir,53,148735,19
3353,Mehmet,Doğan,22,35188,5
3354,Hüseyin,Çelik,44,86566,19
3355,Ahmet,Doğan,33,24170,9
3356,Fatma,Doğan,67,69452,14
3357,Fatma,Demir,46,85650,16
3358,Ahmet,Korkmaz,60,64920,19
3359,Fatma,Korkmaz,34,143780,9
3360,Fatma,Korkmaz,24,127331,4
3361,Fatma,Arslan,49,105740,1
3362,Ayşe,Doğan,20,65308,18
3363,Selin,Şahin,35,130191,14
3364,Mehmet,Doğan,68,87779,16
3365,Ali,Kaya,19,121468,14
3366,Mehmet,Öztürk,50,129904,10
3367,Fatma,Çelik,51,80751,13
3368,Elif,Kaya,56,74907,9
3369,Mehmet,Çelik,22,52659,5
3370,Emre,Şahin,48,128103,14
3371,Ayşe,Kaya,22,74858,12
3372,Emre,Doğan,33,87386,9
3373,Mehmet,Şahin,39,85987,1
3374,Zeynep,Doğan,69,78491,11
3375,Emre,Çelik,56,72260,6
3376,Elif,Öztürk,28,112432,1
3377,Emre,Arslan,34,63898,14
3378,Zeynep,Güler,20,92433,11
3379,Mehmet,Kaya,64,50668,5
3380,Ayşe,Yılmaz,64,68669,16
3381,Fatma,Şahin,64,85900,19
3382,Selin,Demir,50,99525,6
3383,Mehmet,Kaya,57,141008,1
3384,Mehmet,Demir,41,149502,18
3385,Mehmet,Şahin,19,127358,10
3386,Fatma,Arslan,54,78730,19
3387,Selin,Yılmaz,43,89065,17
3388,Zeynep,Kaya,26,61422,1
3389,Selin,Şahin,65,64815,7
3390,Emre,Öztürk,45,68327,10
3391,Selin,Öztürk,18,20870,13
3392,Ali,Doğan,53,128758,12
3393,Ahmet,Güler,44,101322,13
3394,Fatma,Arslan,65,109874,3
3395,Ayşe,Şahin,60,56887,2
3396,Elif,Şahin,40,81648,2
3397,Hüseyin,Çelik,49,52692,13
3398,Ahmet,Arslan,19,28894,3
3399,Ali,Çelik,47,32088,11
3400,Elif,Kaya,21,72486,3
3401,Ali,Doğan,21,128202,11
3402,Fatma,Arslan,52,105681,2
3403,Hüseyin,Korkmaz,54,101004,17
3404,Mehmet,Çelik,60,114904,8
3405,Ahmet,Demir,64,105693,16
3406,Elif,Korkmaz,38,79579,11
3407,Ali,Arslan,59,114841,7
3408,Zeynep,Çelik,23,91254,4
3409,Zeynep,Doğan,42,123838,4
3410,Hüseyin,Arslan,37,79166,18
3411,Mehmet,Doğan,55,110283,13
3412,Emre,Korkmaz,21,115974,4
3413,Hüseyin,Güler,37,111914,9
3414,Selin,Şahin,41,23697,4
3415,Selin,Korkmaz,66,69662,1
3416,Elif,Demir,48,45909,3
3417,Zeynep,Güler,48,121313,14
3418,Elif,Öztürk,43,144263,1
3419,Ahmet,Arslan,25,148085,8
3420,Selin,Şahin,60,132182,8
3421,Ahmet,Kaya,30,26829,17
3422,Emre,Güler,22,35964,12
3423,Mehmet,Doğan,66,77799,15
3424,Ali,Çelik,45,86794,19
3425,Ahmet,Korkmaz,30,97653,10
3426,Selin,Kaya,65,53824,13
3427,Selin,Korkmaz,28,112238,16
3428,Ayşe,Korkmaz,61,124169,6
3429,Emre,Şahin,64,25848,2
3430,Emre,Demir,28,108242,5
3431,Zeynep,Korkmaz,69,88618,16
3432,Selin,Arslan,61,71627,6
3433,Hüseyin,Arslan,24,131624,2
3434,Ahmet,Kaya,25,100568,12
3435,Zeynep,Yılmaz,18,36524,14
3436,Ali,Çelik,69,104466,7
3437,Mehmet,Güler,52,27354,9
3438,Zeynep,Arslan,50,29754,3
3439,Emre,Korkmaz,41,87589,3
3440,Mehmet,Güler,18,117266,15
3441,Elif,Korkmaz,25,144412,16
3442,Ayşe,Arslan,48,138579,16
3443,Fatma,Öztürk,36,48610,11
3444,Ahmet,Korkmaz,50,119993,17
3445,Selin,Yılmaz,20,92795,15
3446,Ali,Şahin,56,106564,11
3447,Emre,Demir,30,91531,16
3448,Ahmet,Yılmaz,18,39059,10
3449,Emre,Arslan,26,137815,7
3450,Emre,Güler,21,32404,19
3451,Hüseyin,Arslan,31,53977,7
3452,Elif,Doğan,44,30485,2
3453,Selin,Öztürk,21,84949,12
3454,Hüseyin,Öztürk,56,42690,18
3455,Mehmet,Yılmaz,24,20749,11
3456,Ali,Kaya,24,102031,12
3457,Ali,Öztürk,38,125341,19
3458,Mehmet,Demir,20,124478,9
3459,Selin,Şahin,39,68761,6
3460,Hüseyin,Doğan,65,125983,15
3461,Emre,Doğan,64,99594,3
3462,Mehmet,Öztürk,36,139884,1
3463,Ali,Kaya,34,39648,14
3464,Fatma,Kaya,61,126484,17
3465,Zeynep,Çelik,51,20915,13
3466,Zeynep,Korkmaz,60,91234,19
3467,Elif,Demir,23,149868,16
3468,Emre,Şahin,47,77886,11
3469,Fatma,Çelik,33,125495,17
3470,Emre,Kaya,43,28897,4
3471,Emre,Şahin,63,141670,9
3472,Ayşe,Güler,42,112173,16
3473,Ali,Demir,54,135096,19
3474,Fatma,Demir,18,65841,14
3475,Selin,Demir,31,118613,14
3476,Fatma,Korkmaz,30,47697,13
3477,Ayşe,Kaya,24,40263,12
3478,Emre,Doğan,67,71123,4
3479,Elif,Yılmaz,67,117170,7
3480,Mehmet,Güler,21,133266,3
3481,Elif,Öztürk,50,70716,9
3482,Elif,Öztürk,69,25197,10
3483,Mehmet,Kaya,67,57851,13
3484,Fatma,Arslan,53,104470,9
3485,Ali,Çelik,31,63180,11
3486,Ahmet,Çelik,29,67882,18
3487,Ayşe,Yılmaz,35,72579,10
3488,Emre,Güler,22,112994,18
3489,Ali,Korkmaz,41,105311,17
3490,Ahmet,Korkmaz,65,47851,1
3491,Fatma,Doğan,28,104696,6
3492,Selin,Korkmaz,56,75592,6
3493,Zeynep,Doğan,56,58130,10
3494,Elif,Güler,66,141213,6
